Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
Sep 20 16:19:26 omarchy-test omarchy-shell[10872]:  DEBUG qml: Local plugin changed, reloading: mtolhuys.omaboot
